OID_,id,taz,type,town,state,town_state,mpo,in_brmpo,subregion,sector,FID_PUMAs,statefp10,pumace10,geoid10,aland10,awater10,state10,puma10,Shape_Length,Shape_Area
233,1892,70,I,ROCKLAND,MA,"ROCKLAND,MA",BRMPO,1,SSC,Southeast,34,25,3900,2503900,169236173,143576043,25,3900,1546.08623,52.82914417
234,1901,71,I,HANOVER,MA,"HANOVER,MA",OCPC,0, ,Southeast,33,25,4902,2504902,621827560,42961316,25,4902,4621.023434,588968.0669
235,1906,73,I,NORWELL,MA,"NORWELL,MA",BRMPO,1,SSC,Southeast,33,25,4902,2504902,621827560,42961316,25,4902,16770.40504,14339831.43
236,1906,73,I,NORWELL,MA,"NORWELL,MA",BRMPO,1,SSC,Southeast,34,25,3900,2503900,169236173,143576043,25,3900,2520.710829,708.8968634
237,1906,73,I,NORWELL,MA,"NORWELL,MA",BRMPO,1,SSC,Southeast,36,25,4903,2504903,479404347,920135258,25,4903,726.5300868,12.27222738
238,1125,161,I,QUINCY,MA,"QUINCY,MA",BRMPO,1,ICC,Southeast,61,25,3603,2503603,76604566,27531385,25,3603,2839.925945,341078.4069
239,4109,1223,I,ATTLEBORO,MA,"ATTLEBORO,MA",SRPEDD,0, ,Southwest,56,25,4200,2504200,374748428,14045486,25,4200,2880.7163,408093.6695
240,1889,77,I,ROCKLAND,MA,"ROCKLAND,MA",BRMPO,1,SSC,Southeast,32,25,4901,2504901,299193233,6716110,25,4901,7819.703145,2389449.133
241,1891,78,I,ROCKLAND,MA,"ROCKLAND,MA",BRMPO,1,SSC,Southeast,32,25,4901,2504901,299193233,6716110,25,4901,5965.209718,1663440.569
242,1891,78,I,ROCKLAND,MA,"ROCKLAND,MA",BRMPO,1,SSC,Southeast,34,25,3900,2503900,169236173,143576043,25,3900,3108.839261,344.5202474
243,1806,131,I,BRAINTREE,MA,"BRAINTREE,MA",BRMPO,1,SSC,Southeast,34,25,3900,2503900,169236173,143576043,25,3900,5373.825286,1864192.945
244,1864,79,I,HINGHAM,MA,"HINGHAM,MA",BRMPO,1,SSC,Southeast,33,25,4902,2504902,621827560,42961316,25,4902,11.6345421,0.110985048
245,1864,79,I,HINGHAM,MA,"HINGHAM,MA",BRMPO,1,SSC,Southeast,34,25,3900,2503900,169236173,143576043,25,3900,11534.79386,4484268.266
